standard_term,raw_tag,method,fuzzy_score,semantic_score
Total current liabilities,us-gaap:AccruedLiabilitiesCurrent,semantic,,0.764420747756958
Depreciation and amortization,us-gaap:AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,semantic,,0.8084031343460083
Share-based compensation expense,us-gaap:AllocatedShareBasedCompensationExpense,semantic,,0.7555004358291626
Total assets,us-gaap:Assets,semantic,,0.7683814167976379
Other current assets,us-gaap:AssetsCurrent,semantic,,0.8409127593040466
Cash and cash equivalents,us-gaap:CashAndCashEquivalentsAtCarryingValue,semantic,,0.8658539056777954
"Increase/(Decrease) in cash, cash equivalents, and restricted cash and cash equivalents",us-gaap:CashAndCashEquivalentsPeriodIncreaseDecrease,semantic,,0.7993738055229187
Cash and cash equivalents,us-gaap:CashEquivalentsAtCarryingValue,semantic,,0.8312312364578247
"Common stock, shares issued (in shares)",us-gaap:CommonStockValue,semantic,,0.7860372066497803
Depreciation and amortization,us-gaap:Depreciation,semantic,,0.8148219585418701
Depreciation and amortization,us-gaap:DepreciationAndAmortization,fuzzy_tag,84.375,
"Cash paid for income taxes, net",us-gaap:IncomeTaxesPaidNet,semantic,,0.8368823528289795
Total liabilities,us-gaap:Liabilities,semantic,,0.8599335551261902
Total liabilities and shareholdersâ€™ equity,us-gaap:LiabilitiesAndStockholdersEquity,semantic,,0.8719630241394043
Other current liabilities,us-gaap:LiabilitiesCurrent,semantic,,0.9055286645889282
Term debt,us-gaap:LongTermDebt,semantic,,0.8335738778114319
Marketable securities,us-gaap:MarketableSecuritiesCurrent,semantic,,0.8071686029434204
Cash used in financing activities,us-gaap:NetCashProvidedByUsedInFinancingActivities,semantic,,0.912493884563446
Cash generated by/(used in) investing activities,us-gaap:NetCashProvidedByUsedInInvestingActivities,semantic,,0.8027095198631287
Cash generated by operating activities,us-gaap:NetCashProvidedByUsedInOperatingActivities,semantic,,0.8686423301696777
Operating income,us-gaap:OperatingIncomeLoss,semantic,,0.7578762769699097
Other current assets,us-gaap:OtherAssetsCurrent,semantic,,0.9531732201576233
Depreciation and amortization,us-gaap:OtherDepreciationAndAmortization,semantic,,0.9554440379142761
"Payments for acquisition of property, plant and equipment",us-gaap:PaymentsToAcquireOilAndGasPropertyAndEquipment,semantic,,0.7562289237976074
"Payments for acquisition of property, plant and equipment",us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,semantic,,0.9239535331726074
"Property, plant and equipment, net",us-gaap:PropertyPlantAndEquipmentGross,semantic,,0.761058509349823
"Property, plant and equipment, net",us-gaap:PropertyPlantAndEquipmentNet,fuzzy_tag,80.0,
"Property, plant and equipment, net",us-gaap:PropertyPlantAndEquipmentOther,semantic,,0.7939134240150452
"Property, plant and equipment, net",us-gaap:PropertyPlantAndEquipmentOtherNet,semantic,,0.9025377035140991
Repayments of term debt,us-gaap:RepaymentsOfOtherDebt,semantic,,0.8069049715995789
"Selling, general and administrative",us-gaap:SellingGeneralAndAdministrativeExpense,semantic,,0.7608095407485962
"Increase/(Decrease) in cash, cash equivalents, and restricted cash and cash equivalents",us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,semantic,,0.8147259950637817
Deferred revenue,us-gaap:DeferredRevenue,semantic,,1.0
Total operating expenses,us-gaap:OperatingCostsAndExpenses,semantic,,0.84801185131073
Proceeds from sales of marketable securities,us-gaap:ProceedsFromSaleAndMaturityOfMarketableSecurities,semantic,,0.8702692985534668
"Increase/(Decrease) in cash, cash equivalents, and restricted cash and cash equivalents",us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,semantic,,0.807887613773346
Total operating expenses,us-gaap:OperatingExpenses,semantic,,0.9096481204032898
"Cash, cash equivalents, and restricted cash and cash equivalents, beginning balances",us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,semantic,,0.8622371554374695
Marketable securities,us-gaap:MarketableSecurities,fuzzy_tag,81.63265306122449,
Purchases of marketable securities,us-gaap:PaymentsToAcquireMarketableSecurities,semantic,,0.8542600274085999
Other current liabilities,us-gaap:EmployeeRelatedLiabilitiesCurrent,semantic,,0.7548161745071411
"Payments for acquisition of property, plant and equipment",us-gaap:ProceedsFromSaleOfPropertyPlantAndEquipment,semantic,,0.7719889879226685
Repayments of term debt,us-gaap:RepaymentsOfLongTermDebt,semantic,,0.8909770250320435
Deferred revenue,us-gaap:DeferredRevenueCurrent,semantic,,0.895592451095581
